OK core gate: countermodel proof-safety gates (non-promotion guards, 0.369s)
OK core gate: Jensen-window PF reciprocal signed Jacobi beta scout (finite theorem-search diagnostics, 0.205s)
OK core gate: Jensen-window PF reciprocal Motzkin path obstruction scout (finite theorem-search diagnostics, 0.18s)
OK core gate: Jensen-window PF reciprocal Motzkin parity-lift obstruction scout (finite theorem-search diagnostics, 0.269s)
OK core gate: Jensen-window PF signed J-fraction theorem target (open theorem target hygiene, 0.2s)
OK core gate: Jensen-window PF modified signed-model target (open theorem target hygiene, 0.183s)
OK core gate: Jensen-window PF oscillatory resolvent fit matrix (open theorem target hygiene, 0.189s)
OK core gate: Jensen-window PF positive readout theorem target (open theorem target hygiene, 0.19s)
OK core gate: Jensen-window PF positive spectral moment obstruction (finite theorem-search diagnostics, 0.26s)
OK core gate: Jensen-window PF nonordinary positive transform ansatz matrix (open theorem target hygiene, 0.186s)
OK core gate: Jensen-window PF nonpower functional low-degree scout (exact theorem-search algebra, 0.186s)
OK core gate: Jensen-window PF nonpower functional cone candidate matrix (open theorem target hygiene, 0.174s)
OK core gate: Jensen-window PF Cauchy-Binet cone frontier matrix (open theorem target hygiene, 0.175s)
OK core gate: Jensen-window PF monotone contraction frontier scout (exact theorem-search algebra, 0.187s)
OK core gate: Jensen-window PF monotone-contraction column extension scout (exact theorem-search algebra, 0.195s)
OK core gate: Jensen-window PF monotone-contraction all-m counterexample (non-promotion guards, 0.164s)
OK core gate: Jensen-window PF monotone contraction theorem target (open theorem target hygiene, 0.183s)
OK core gate: Jensen-window PF heat-flow monotone closure scout (finite theorem-search diagnostics, 0.255s)
OK core gate: Jensen-window PF heat-flow boundary threshold lemma (exact theorem-search algebra, 0.277s)
OK core gate: Jensen-window PF kernel Mellin upper-wall certificate (interval theorem certificates, 2.943s)
OK core gate: Jensen-window PF log-concave Mellin monotone-wall countermodel (non-promotion guards, 0.319s)
OK core gate: Jensen-window PF T=1156 monotone-wall counterexample certificate (non-promotion guards, 0.327s)
OK core gate: Jensen-window PF negative-lambda kernel summand-shift lemma (exact theorem-search algebra, 0.309s)
OK core gate: Jensen-window PF negative-lambda first-summand dominance certificate (interval theorem certificates, 0.269s)
OK core gate: Jensen-window PF negative-lambda -100 k320 collar extension certificate (promoted finite evidence, 0.284s)
OK core gate: Jensen-window PF negative-lambda -100 full cone-entry certificate (interval theorem certificates, 0.306s)
OK core gate: Jensen-window PF infinite heat-flow cone-invariance certificate (interval theorem certificates, 1.316s)
OK core gate: Jensen-window PF defect complete-monotonicity scout (finite theorem-search diagnostics, 0.283s)
OK core gate: Jensen-window PF heat-flow Jensen hierarchy lemma (exact theorem-search algebra, 1.432s)
OK core gate: Jensen-window PF negative-lambda first-summand saddle-wall closure (interval theorem certificates, 17.71s)
OK core gate: Jensen-window PF negative-lambda first-summand cumulant bridge (exact theorem-search algebra, 22.283s)
OK core gate: Jensen-window PF negative-lambda first-summand leading-saddle certificate (interval theorem certificates, 26.643s)
OK core gate: Jensen-window PF negative-lambda first-summand paired-remainder ray certificate (interval theorem certificates, 1.426s)
OK core gate: Jensen-window PF heat-flow ratio cone invariance lemma (exact theorem-search algebra, 0.325s)
OK core gate: Jensen-window PF heat-flow cone-entry asymptotic target (open theorem target hygiene, 0.212s)
OK core gate: Jensen-window PF Phi Taylor cone-entry sign scout (promoted finite evidence, 0.267s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix scout (promoted finite evidence, 0.269s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k30 scout (promoted finite evidence, 0.259s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k50 scout (promoted finite evidence, 0.275s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k60 scout (promoted finite evidence, 0.293s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k80 scout (promoted finite evidence, 0.273s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k100 scout (promoted finite evidence, 0.331s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k150 scout (promoted finite evidence, 0.32s)
OK core gate: Jensen-window PF negative-lambda cone-entry prefix k200 scout (promoted finite evidence, 0.276s)
OK core gate: Jensen-window PF negative-lambda finite-collar contract (finite theorem-search diagnostics, 0.263s)
OK core gate: Jensen-window PF negative-lambda finite-collar k30 contract (finite theorem-search diagnostics, 0.324s)
OK core gate: Jensen-window PF negative-lambda finite-collar k50 contract (finite theorem-search diagnostics, 0.283s)
OK core gate: Jensen-window PF negative-lambda finite-collar k60 contract (finite theorem-search diagnostics, 0.243s)
OK core gate: Jensen-window PF negative-lambda finite-collar k80 contract (finite theorem-search diagnostics, 0.267s)
OK core gate: Jensen-window PF negative-lambda finite-collar k100 contract (finite theorem-search diagnostics, 0.285s)
OK core gate: Jensen-window PF negative-lambda finite-collar k150 contract (finite theorem-search diagnostics, 0.348s)
OK core gate: Jensen-window PF negative-lambda finite-collar k200 contract (finite theorem-search diagnostics, 0.317s)
OK core gate: Jensen-window PF negative-lambda tail-barrier scout (finite theorem-search diagnostics, 0.294s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k30 scout (finite theorem-search diagnostics, 0.268s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k50 scout (finite theorem-search diagnostics, 0.234s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k60 scout (finite theorem-search diagnostics, 0.247s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k80 scout (finite theorem-search diagnostics, 0.291s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k100 scout (finite theorem-search diagnostics, 0.285s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k150 scout (finite theorem-search diagnostics, 0.301s)
OK core gate: Jensen-window PF negative-lambda tail-barrier k200 scout (finite theorem-search diagnostics, 0.387s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k50 scout (finite theorem-search diagnostics, 0.267s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k60 scout (finite theorem-search diagnostics, 0.27s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k80 scout (finite theorem-search diagnostics, 0.273s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k100 scout (finite theorem-search diagnostics, 0.294s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k150 scout (finite theorem-search diagnostics, 0.279s)
OK core gate: Jensen-window PF negative-lambda scaled-defect frontier k200 scout (finite theorem-search diagnostics, 0.32s)
OK core gate: Jensen-window PF negative-lambda defect-recurrence scout (finite theorem-search diagnostics, 0.266s)
OK core gate: Jensen-window PF negative-lambda log-curvature bridge (finite theorem-search diagnostics, 0.328s)
OK core gate: Jensen-window PF negative-lambda bounded log-curvature target (finite theorem-search diagnostics, 0.296s)
OK core gate: Jensen-window PF negative-lambda bounded log-curvature k300 obstruction (non-promotion guards, 0.542s)
OK core gate: Jensen-window PF negative-lambda Gaussian curvature matrix (finite theorem-search diagnostics, 0.286s)
OK core gate: Jensen-window PF negative-lambda signed Gaussian perturbation matrix (finite theorem-search diagnostics, 0.205s)
OK core gate: Jensen-window PF negative-lambda uniform remainder target (open theorem target hygiene, 0.235s)
OK core gate: Jensen-window PF negative-lambda Taylor moment budget (finite theorem-search diagnostics, 0.267s)
OK core gate: Jensen-window PF negative-lambda high-order Taylor scout (finite theorem-search diagnostics, 0.319s)
OK core gate: Jensen-window PF negative-lambda defect-tail theorem target (open theorem target hygiene, 0.213s)
OK core gate: Jensen-window PF negative-lambda half-width tail target (open theorem target hygiene, 0.222s)
OK core gate: Jensen-window PF negative-lambda adaptive scaled-defect target (open theorem target hygiene, 0.19s)
OK core gate: Jensen-window PF negative-lambda adaptive envelope matrix (finite theorem-search diagnostics, 0.298s)
OK core gate: Jensen-window PF negative-lambda adaptive envelope obligations (exact theorem-search algebra, 1.544s)
OK core gate: Jensen-window PF negative-lambda raw-moment bridge matrix (exact theorem-search algebra, 1.829s)
OK core gate: Jensen-window PF negative-lambda raw-ratio decrement-corridor scout (finite theorem-search diagnostics, 1.714s)
OK core gate: Jensen-window PF negative-lambda k300 precision-repair audit (finite theorem-search diagnostics, 0.45s)
OK core gate: Jensen-window PF negative-lambda raw-log decrement bridge (exact theorem-search algebra, 2.226s)
OK core gate: Jensen-window PF negative-lambda coefficient-curvature corridor bridge (exact theorem-search algebra, 2.157s)
OK core gate: Jensen-window PF negative-lambda linear curvature-barrier scout (exact theorem-search algebra, 2.379s)
OK core gate: Jensen-window PF negative-lambda scaled-curvature monotonicity target (open theorem target hygiene, 2.318s)
OK core gate: Jensen-window PF negative-lambda scaled-curvature log-ceiling bridge (exact theorem-search algebra, 2.507s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian curvature bridge (exact theorem-search algebra, 1.991s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian Taylor stencil scout (finite theorem-search diagnostics, 3.478s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian stencil remainder obligations (exact theorem-search algebra, 2.173s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian pointwise tail budget (exact theorem-search algebra, 1.466s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian next-increment stencil stress (finite theorem-search diagnostics, 1.691s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-16 stencil continuation (finite theorem-search diagnostics, 0.521s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-16 collar scan (finite theorem-search diagnostics, 4.324s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-16 real-T collar scout (finite theorem-search diagnostics, 54.955s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-16 Arb real-T collar certificate (finite theorem-search diagnostics, 0.43s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-40 Arb collar ladder stress (finite theorem-search diagnostics, 4.831s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian degree-40 residual tail budget (exact theorem-search algebra, 6.337s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian asymptotic remainder target (exact theorem-search algebra, 0.225s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian actual endpoint remainder scout (finite theorem-search diagnostics, 1.982s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian intervalization target (open theorem target hygiene, 0.21s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian Phi tail bound scout (finite theorem-search diagnostics, 1.285s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian node-c0 range certificate (finite theorem-search diagnostics, 0.4s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian Phi-tail grid certificate (finite theorem-search diagnostics, 0.274s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian quadrature ladder scout (finite theorem-search diagnostics, 20.452s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian quadrature-remainder route matrix (finite theorem-search diagnostics, 0.261s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row far-tail split certificate (finite theorem-search diagnostics, 1.07s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row compact-interval integration scout (finite theorem-search diagnostics, 1.889s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row Chebyshev panel-moment scout (finite theorem-search diagnostics, 28.136s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row Arb Chebyshev interpolant-moment scout (finite theorem-search diagnostics, 6.338s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row interpolation-remainder route matrix (finite theorem-search diagnostics, 0.342s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian endpoint parity-repair matrix (finite theorem-search diagnostics, 0.475s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian endpoint x-panel route matrix (finite theorem-search diagnostics, 0.283s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian endpoint x-moment Taylor certificate (promoted finite evidence, 6.007s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row compact x-moment Taylor certificate (promoted finite evidence, 10.125s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row full-expectation certificate (promoted finite evidence, 0.434s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian all-row direct expectation certificate (promoted finite evidence, 41.342s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian recorded-grid stencil composition certificate (promoted finite evidence, 3.891s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian finite-collar-segment stencil certificate (promoted interval evidence, 34.058s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian full-kernel evenness/Cauchy lemma (exact theorem-search algebra, 1.917s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian full-real-T fixed-k stencil certificate (promoted interval evidence, 6.253s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian first-omitted denominator certificate (finite theorem-search diagnostics, 1.341s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian coefficient-core propagation certificate (finite theorem-search diagnostics, 1.224s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row Laguerre root-bracket certificate (finite theorem-search diagnostics, 34.228s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row Christoffel-weight midpoint scout (finite theorem-search diagnostics, 2.535s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row Christoffel-weight interval certificate (finite theorem-search diagnostics, 83.351s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row finite-part weighted-sum interval certificate (finite theorem-search diagnostics, 266.75s)
OK core gate: Jensen-window PF negative-lambda relative-Gaussian worst-row finite-plus-tail budget certificate (finite theorem-search diagnostics, 0.223s)
OK core gate: Jensen-window PF negative-lambda raw-moment obstruction matrix (non-promotion guards, 0.209s)
OK core gate: Jensen-window PF negative-lambda zeta-specific raw-corridor target (open theorem target hygiene, 1.594s)
OK core gate: Jensen-window PF monotone contraction stress (finite theorem-search diagnostics, 0.209s)
OK core gate: Jensen-window PF state-space sign-lift obstruction scout (finite theorem-search diagnostics, 0.201s)
OK core gate: Jensen-window PF Cauchy-Binet low-degree scout (exact theorem-search algebra, 0.206s)
OK core gate: Jensen-window PF log-concavity frontier scout (exact theorem-search algebra, 0.192s)
OK core gate: Jensen-window PF ratio-condition scout (exact theorem-search algebra, 0.181s)
OK core gate: Jensen-window PF contraction-log-concavity scout (exact theorem-search algebra, 0.159s)
OK core gate: sign-regularity theorem fit matrix (open theorem target hygiene, 0.187s)
OK core gate: positive Schur-specialization target note (open theorem target hygiene, 0.237s)
OK core gate: Edrei-log sign diagnostics (promoted finite evidence, 0.21s)
OK core gate: Edrei midpoint frontier non-promotion guard (non-promotion guards, 0.176s)
OK core gate: Edrei power-Hankel boundary repair manifest (promoted finite evidence, 0.226s)
OK core gate: Edrei moment-recurrence scout manifest (finite theorem-search diagnostics, 0.315s)
validated 175/175 core proof-programme gates
